step,epoch,loss,grad_norm,learning_rate,rewards/chosen,rewards/rejected,rewards/accuracies,rewards/margins,logps/chosen,logps/rejected,logits/chosen,logits/rejected
10,0.04,0.7074,5.86484432220459,4.93e-05,0.06640016287565231,0.08831273019313812,0.32499998807907104,-0.02191256731748581,-65.37692260742188,-65.03480529785156,-1.1145508289337158,-0.9466812014579773
20,0.08,0.6599,4.087711334228516,4.83e-05,0.25190889835357666,0.1651330590248108,0.550000011920929,0.08677581697702408,-60.94269943237305,-65.0638656616211,-1.2503483295440674,-1.0043798685073853
30,0.12,0.6372,,4.73e-05,0.28077399730682373,0.09542465209960938,0.675000011920929,0.18534934520721436,-63.50449752807617,-64.7828369140625,-1.3142751455307007,-1.0690290927886963
40,0.16,0.6532,5.470401763916016,4.64e-05,0.3261632025241852,0.1645767241716385,0.574999988079071,0.16158650815486908,-61.58489990234375,-64.99628448486328,-1.4119820594787598,-1.2891499996185303
50,0.2,0.4783,5.158630847930908,4.5400000000000006e-05,0.3975726366043091,-0.3026050925254822,0.800000011920929,0.700177788734436,-63.06439971923828,-71.45679473876953,-1.5300157070159912,-1.2876346111297607
60,0.24,0.6055,8.028457641601562,4.44e-05,0.4168330132961273,0.04745940491557121,0.6000000238418579,0.3693735897541046,-62.64887237548828,-64.62188720703125,-1.821057915687561,-1.6257102489471436
70,0.28,0.516,6.384461402893066,4.3400000000000005e-05,0.4708346724510193,-0.15327560901641846,0.675000011920929,0.6241103410720825,-60.32109832763672,-65.25894165039062,-2.380596160888672,-1.9544665813446045
80,0.32,0.513,5.494524955749512,4.24e-05,0.40155330300331116,-0.30609211325645447,0.800000011920929,0.7076454162597656,-62.21503829956055,-65.61700439453125,-2.3206403255462646,-2.1252357959747314
90,0.36,0.3544,5.105621337890625,4.14e-05,0.7544914484024048,-0.5873703956604004,0.8500000238418579,1.3418619632720947,-56.31779098510742,-71.38274383544922,-2.632491111755371,-2.2248196601867676
100,0.4,0.6841,9.665820121765137,4.05e-05,-0.27974382042884827,-1.3548206090927124,0.75,1.0750770568847656,-68.97116088867188,-76.33018493652344,-2.9430508613586426,-2.668349027633667
110,0.44,0.5883,9.797061920166016,3.9500000000000005e-05,0.031162982806563377,-1.003502607345581,0.75,1.0346653461456299,-65.40971374511719,-76.8401870727539,-3.3926918506622314,-3.036729335784912
120,0.48,0.4687,4.360942363739014,3.86e-05,0.046834371984004974,-1.4358007907867432,0.7250000238418579,1.4826350212097168,-65.91047668457031,-81.92286682128906,-3.2321383953094482,-2.889826536178589
130,0.52,0.3781,2.158496141433716,3.76e-05,0.4705996513366699,-1.2816674709320068,0.8500000238418579,1.7522672414779663,-62.2192268371582,-75.95590209960938,-3.010880708694458,-2.7513794898986816
140,0.56,0.5085,9.261059761047363,3.66e-05,0.2739473879337311,-0.7925218343734741,0.75,1.0664691925048828,-61.32685470581055,-72.7206039428711,-2.93377423286438,-2.8064074516296387
150,0.6,0.4566,8.30005168914795,3.56e-05,0.3815767765045166,-0.9773257374763489,0.7250000238418579,1.3589026927947998,-60.885589599609375,-73.9157485961914,-3.2173361778259277,-2.976771831512451
160,0.64,0.5025,12.377205848693848,3.46e-05,-0.17780102789402008,-1.2143049240112305,0.75,1.0365040302276611,-66.9343490600586,-79.43766784667969,-3.4656643867492676,-3.3147387504577637
170,0.68,0.8777,9.855592727661133,3.3600000000000004e-05,-0.6539269685745239,-1.3149402141571045,0.6000000238418579,0.6610134243965149,-73.32987976074219,-77.9048080444336,-3.849273204803467,-3.526779890060425
180,0.72,0.3816,13.175128936767578,3.26e-05,-0.3417746126651764,-2.1629698276519775,0.824999988079071,1.8211952447891235,-68.88289642333984,-88.85408020019531,-3.7493414878845215,-3.5818679332733154
190,0.76,0.5375,10.274810791015625,3.16e-05,-0.8246887922286987,-2.08952260017395,0.7250000238418579,1.2648340463638306,-72.60980224609375,-84.16380310058594,-3.7335410118103027,-3.5219643115997314
200,0.8,0.4864,27.26376724243164,3.06e-05,-0.7509997487068176,-2.2175490856170654,0.7250000238418579,1.466549277305603,-73.57194519042969,-90.36689758300781,-3.7133560180664062,-3.4565823078155518
210,0.84,0.4705,11.932352066040039,2.96e-05,-0.34432095289230347,-1.7791807651519775,0.800000011920929,1.4348596334457397,-70.1436996459961,-82.94146728515625,-3.808680772781372,-3.532244920730591
220,0.88,0.5725,8.417919158935547,2.86e-05,-0.4397524297237396,-1.5138168334960938,0.7250000238418579,1.0740643739700317,-69.30057525634766,-79.1883316040039,-3.50048565864563,-3.380017042160034
230,0.92,0.2844,6.966300010681152,2.7600000000000003e-05,0.4993646740913391,-1.983441948890686,0.8999999761581421,2.48280668258667,-59.68220138549805,-84.9537353515625,-3.694575071334839,-3.401299238204956
240,0.96,0.431,8.404691696166992,2.6600000000000003e-05,-0.03325778245925903,-1.5900695323944092,0.800000011920929,1.5568116903305054,-68.4006118774414,-82.6849594116211,-3.7262730598449707,-3.7029197216033936
250,1.0,0.4677,5.915289878845215,2.5600000000000002e-05,-0.5742496252059937,-2.156187057495117,0.7749999761581421,1.5819371938705444,-73.48036193847656,-86.7126235961914,-3.6752002239227295,-3.559457302093506
260,1.04,0.2222,3.512519359588623,2.46e-05,-0.014864057302474976,-2.4153695106506348,0.8999999761581421,2.400505542755127,-67.71726989746094,-88.51385498046875,-3.7651264667510986,-3.5814743041992188
270,1.08,0.3489,16.276159286499023,2.36e-05,0.21378132700920105,-1.9951369762420654,0.824999988079071,2.208918333053589,-66.05088806152344,-83.40846252441406,-3.784180164337158,-3.6940512657165527
280,1.12,0.1375,0.5154970288276672,2.26e-05,0.2876666486263275,-2.8946378231048584,0.9750000238418579,3.1823043823242188,-63.382530212402344,-93.8873291015625,-3.8059260845184326,-3.6356041431427
290,1.16,0.1988,15.709481239318848,2.16e-05,0.20864292979240417,-2.5347516536712646,0.925000011920929,2.7433948516845703,-64.42015075683594,-90.31474304199219,-3.9844069480895996,-3.793992519378662
300,1.2,0.1494,6.3497419357299805,2.06e-05,-0.5354920625686646,-3.5703983306884766,0.9750000238418579,3.0349061489105225,-71.33287811279297,-100.2884292602539,-3.9658989906311035,-3.9735915660858154
310,1.24,0.2405,28.531713485717773,1.9600000000000002e-05,-1.3531922101974487,-4.191116809844971,0.875,2.8379244804382324,-78.84588623046875,-108.26148986816406,-4.056572437286377,-3.9331459999084473
320,1.28,0.2623,9.319132804870605,1.86e-05,-1.105405569076538,-4.510403633117676,0.925000011920929,3.4049975872039795,-77.8282241821289,-108.49067687988281,-4.043776035308838,-3.9961540699005127
330,1.32,0.1811,1.295459508895874,1.76e-05,-0.31534987688064575,-3.6010429859161377,0.8999999761581421,3.285693407058716,-67.08377838134766,-100.16740417480469,-4.055942058563232,-3.9278645515441895
340,1.36,0.1273,7.694563865661621,1.66e-05,-0.3281126618385315,-3.6301395893096924,0.949999988079071,3.3020267486572266,-68.12899780273438,-102.17964172363281,-3.9983088970184326,-3.941896438598633
350,1.4,0.2304,3.9884159564971924,1.56e-05,-0.4174268841743469,-3.9119181632995605,0.925000011920929,3.4944915771484375,-70.23680114746094,-103.77720642089844,-4.077526569366455,-3.927942991256714
360,1.44,0.1723,14.241791725158691,1.4599999999999999e-05,-0.7654660940170288,-4.337479114532471,0.925000011920929,3.5720131397247314,-74.04313659667969,-106.74271392822266,-3.9822678565979004,-3.9279770851135254
370,1.48,0.4087,49.52620315551758,1.3600000000000002e-05,-1.322355031967163,-4.2410993576049805,0.7749999761581421,2.9187445640563965,-79.18678283691406,-108.9186019897461,-3.9171652793884277,-3.793004274368286
380,1.52,0.2795,12.581570625305176,1.2600000000000001e-05,-0.824435830116272,-3.861321210861206,0.8500000238418579,3.0368852615356445,-73.03720092773438,-104.20408630371094,-4.087513446807861,-3.912187099456787
390,1.56,0.1921,2.9832513332366943,1.16e-05,-0.4184347987174988,-3.7733845710754395,0.925000011920929,3.354949474334717,-70.02268981933594,-103.88658142089844,-4.173141956329346,-4.104536533355713
400,1.6,0.2714,4.914115905761719,1.06e-05,-0.581234335899353,-3.5928573608398438,0.875,3.011622905731201,-71.52264404296875,-101.81227111816406,-4.1764607429504395,-4.0456929206848145
410,1.64,0.1255,6.068535804748535,9.600000000000001e-06,-0.7435681223869324,-4.510453224182129,0.949999988079071,3.7668850421905518,-73.23007202148438,-113.51708984375,-4.199509143829346,-3.982889175415039
420,1.68,0.2948,8.57094669342041,8.599999999999999e-06,-0.6683107614517212,-3.875889539718628,0.8500000238418579,3.207578659057617,-72.91150665283203,-103.73768615722656,-4.191976547241211,-4.128836631774902
430,1.72,0.2596,6.317903995513916,7.6e-06,-1.0024583339691162,-4.349009990692139,0.8500000238418579,3.3465523719787598,-73.9062728881836,-106.442626953125,-4.134514808654785,-4.044440269470215
440,1.76,0.2534,7.418835163116455,6.6e-06,-0.13623186945915222,-3.296668529510498,0.8999999761581421,3.1604363918304443,-66.98783874511719,-102.48301696777344,-4.174688816070557,-4.112395286560059
450,1.8,0.2146,1.887712836265564,5.600000000000001e-06,-0.867077648639679,-4.36296272277832,0.8999999761581421,3.495885133743286,-74.41290283203125,-111.14945220947266,-4.163987636566162,-3.8849244117736816
460,1.84,0.1708,3.9091455936431885,4.6e-06,-0.7015620470046997,-4.304429054260254,0.949999988079071,3.6028671264648438,-73.1412124633789,-108.53050231933594,-4.1928839683532715,-4.162353038787842
470,1.88,0.1557,31.486780166625977,3.6e-06,0.013737189583480358,-3.952934741973877,0.925000011920929,3.9666717052459717,-63.943641662597656,-106.65669250488281,-4.094702243804932,-4.11427116394043
480,1.92,0.187,34.723228454589844,2.6e-06,-1.2139924764633179,-4.850323677062988,0.949999988079071,3.636331081390381,-77.95555114746094,-113.5246353149414,-4.148470401763916,-4.090950012207031
490,1.96,0.1652,5.595848083496094,1.6000000000000001e-06,-0.9136332273483276,-4.7374372482299805,0.925000011920929,3.8238041400909424,-74.47859191894531,-114.74478912353516,-4.092728614807129,-3.9732494354248047
500,2.0,0.2053,12.45630931854248,6.000000000000001e-07,-0.9013975262641907,-4.5871100425720215,0.8999999761581421,3.6857123374938965,-73.78486633300781,-109.7912368774414,-4.175679683685303,-4.0817389488220215
